Map,Board Size,Internal Deduce + BF Time (s),BF Solved,BF Seeds,BF Chosen Seed,Internal Deduce + BFOS Time (s),BFOS Solved,BFOS Seeds,BFOS Chosen Seed,Boards Match,Image Path
1,5x5,0.004494,TRUE,1,"(0, 0)",0.002565,TRUE,1,"(0, 0)",YES,Analysis\Internal_Deduction\comparison_Map_1.png
2,6x6,0.018076,TRUE,1,"(0, 0)",0.004515,TRUE,1,"(1, 5)",NO,Analysis\Internal_Deduction\comparison_Map_2.png
3,8x8,0.137295,TRUE,2,"(0, 1)",0.031638,TRUE,1,"(2, 6)",YES,Analysis\Internal_Deduction\comparison_Map_3.png
4,8x8,0.090604,TRUE,1,"(0, 0)",0.607084,TRUE,2,"(2, 6)",NO,Analysis\Internal_Deduction\comparison_Map_4.png
5,8x8,0.011686,TRUE,1,"(0, 0)",0.011095,TRUE,1,"(5, 1)",YES,Analysis\Internal_Deduction\comparison_Map_5.png
6,9x9,0.077344,TRUE,1,"(0, 7)",0.0028,TRUE,1,"(3, 0)",YES,Analysis\Internal_Deduction\comparison_Map_6.png
7,8x8,0.111588,TRUE,1,"(0, 3)",0.087455,TRUE,1,"(0, 3)",YES,Analysis\Internal_Deduction\comparison_Map_7.png
8,8x8,0.019954,TRUE,1,"(0, 0)",0.006447,TRUE,1,"(2, 3)",YES,Analysis\Internal_Deduction\comparison_Map_8.png
9,8x8,0.073155,TRUE,1,"(0, 0)",0.032665,TRUE,1,"(3, 2)",YES,Analysis\Internal_Deduction\comparison_Map_9.png
10,8x8,0.119989,TRUE,1,"(0, 0)",0.338563,TRUE,1,"(1, 6)",NO,Analysis\Internal_Deduction\comparison_Map_10.png
11,8x8,0.591251,TRUE,1,"(0, 0)",0.073292,TRUE,1,"(6, 3)",YES,Analysis\Internal_Deduction\comparison_Map_11.png
12,8x8,0.016139,TRUE,1,"(0, 0)",0.005724,TRUE,1,"(3, 4)",YES,Analysis\Internal_Deduction\comparison_Map_12.png
13,8x8,0.02412,TRUE,1,"(0, 1)",0.0071,TRUE,1,"(3, 5)",YES,Analysis\Internal_Deduction\comparison_Map_13.png
14,8x8,0.031973,TRUE,1,"(0, 0)",0.021416,TRUE,1,"(0, 0)",YES,Analysis\Internal_Deduction\comparison_Map_14.png
15,8x8,0.368893,TRUE,3,"(0, 2)",0.175422,TRUE,1,"(7, 4)",YES,Analysis\Internal_Deduction\comparison_Map_15.png
16,8x8,0.18161,TRUE,4,"(0, 4)",0.085937,TRUE,1,"(5, 2)",YES,Analysis\Internal_Deduction\comparison_Map_16.png
17,9x9,0.042021,TRUE,1,"(0, 0)",0.005287,TRUE,1,"(2, 6)",YES,Analysis\Internal_Deduction\comparison_Map_17.png
18,9x9,0.788149,TRUE,2,"(0, 2)",0.170403,TRUE,1,"(3, 5)",YES,Analysis\Internal_Deduction\comparison_Map_18.png
19,9x9,0.033759,TRUE,1,"(0, 6)",0.005166,TRUE,1,"(2, 7)",YES,Analysis\Internal_Deduction\comparison_Map_19.png
20,9x9,0.028256,TRUE,1,"(0, 1)",0.007336,TRUE,1,"(3, 8)",YES,Analysis\Internal_Deduction\comparison_Map_20.png
21,9x9,0.044231,TRUE,1,"(0, 1)",0.018799,TRUE,1,"(2, 2)",YES,Analysis\Internal_Deduction\comparison_Map_21.png
22,9x9,0.046888,TRUE,1,"(0, 0)",0.007521,TRUE,1,"(2, 7)",YES,Analysis\Internal_Deduction\comparison_Map_22.png
23,9x9,0.037222,TRUE,1,"(0, 0)",0.007534,TRUE,1,"(1, 7)",YES,Analysis\Internal_Deduction\comparison_Map_23.png
24,9x9,0.042013,TRUE,1,"(0, 8)",0.003301,TRUE,1,"(1, 3)",YES,Analysis\Internal_Deduction\comparison_Map_24.png
25,9x9,0.038378,TRUE,1,"(0, 0)",0.005025,TRUE,1,"(2, 6)",YES,Analysis\Internal_Deduction\comparison_Map_25.png
26,9x9,0.03908,TRUE,1,"(0, 7)",0.003844,TRUE,1,"(1, 2)",YES,Analysis\Internal_Deduction\comparison_Map_26.png
27,8x8,0.022483,TRUE,1,"(0, 6)",0.003673,TRUE,1,"(0, 6)",YES,Analysis\Internal_Deduction\comparison_Map_27.png
28,8x8,0.018149,TRUE,1,"(0, 7)",0.002862,TRUE,1,"(1, 3)",YES,Analysis\Internal_Deduction\comparison_Map_28.png
29,8x8,0.021322,TRUE,1,"(0, 2)",0.003436,TRUE,1,"(2, 0)",YES,Analysis\Internal_Deduction\comparison_Map_29.png
30,8x8,0.021539,TRUE,1,"(0, 4)",0.002994,TRUE,1,"(1, 1)",YES,Analysis\Internal_Deduction\comparison_Map_30.png
31,8x8,0.019101,TRUE,1,"(0, 6)",0.004073,TRUE,1,"(2, 4)",YES,Analysis\Internal_Deduction\comparison_Map_31.png
32,8x8,0.491734,TRUE,2,"(0, 2)",0.186435,TRUE,1,"(0, 2)",YES,Analysis\Internal_Deduction\comparison_Map_32.png
33,7x7,0.016304,TRUE,1,"(0, 5)",0.001725,TRUE,1,"(3, 1)",YES,Analysis\Internal_Deduction\comparison_Map_33.png
34,7x7,0.012364,TRUE,1,"(0, 1)",0.001908,TRUE,1,"(2, 0)",YES,Analysis\Internal_Deduction\comparison_Map_34.png
35,7x7,0.009844,TRUE,1,"(0, 2)",0.001664,TRUE,1,"(0, 2)",YES,Analysis\Internal_Deduction\comparison_Map_35.png
36,7x7,0.015448,TRUE,1,"(0, 2)",0.002885,TRUE,1,"(2, 3)",YES,Analysis\Internal_Deduction\comparison_Map_36.png
37,7x7,0.040241,TRUE,3,"(0, 5)",0.00962,TRUE,1,"(4, 3)",YES,Analysis\Internal_Deduction\comparison_Map_37.png
38,7x7,0.012068,TRUE,1,"(0, 3)",0.003337,TRUE,1,"(0, 3)",YES,Analysis\Internal_Deduction\comparison_Map_38.png
39,8x8,0.016059,TRUE,1,"(0, 7)",0.004604,TRUE,1,"(0, 7)",YES,Analysis\Internal_Deduction\comparison_Map_39.png
40,8x8,0.2852,TRUE,3,"(0, 3)",0.143147,TRUE,1,"(7, 5)",YES,Analysis\Internal_Deduction\comparison_Map_40.png
41,7x7,0.013136,TRUE,1,"(0, 6)",0.001929,TRUE,1,"(2, 0)",YES,Analysis\Internal_Deduction\comparison_Map_41.png
42,7x7,0.013272,TRUE,1,"(0, 3)",0.002696,TRUE,1,"(2, 2)",YES,Analysis\Internal_Deduction\comparison_Map_42.png
43,7x7,0.015005,TRUE,1,"(0, 6)",0.001795,TRUE,1,"(3, 1)",YES,Analysis\Internal_Deduction\comparison_Map_43.png
44,7x7,0.010719,TRUE,1,"(0, 4)",0.002268,TRUE,1,"(1, 1)",YES,Analysis\Internal_Deduction\comparison_Map_44.png
45,7x7,0.014309,TRUE,1,"(0, 1)",0.002448,TRUE,1,"(2, 2)",YES,Analysis\Internal_Deduction\comparison_Map_45.png
46,7x7,0.01416,TRUE,1,"(0, 1)",0.001808,TRUE,1,"(0, 1)",YES,Analysis\Internal_Deduction\comparison_Map_46.png
47,7x7,0.009376,TRUE,1,"(0, 3)",0.002397,TRUE,1,"(1, 0)",YES,Analysis\Internal_Deduction\comparison_Map_47.png
48,7x7,0.015828,TRUE,1,"(0, 2)",0.001922,TRUE,1,"(0, 2)",YES,Analysis\Internal_Deduction\comparison_Map_48.png
49,7x7,0.019646,TRUE,1,"(0, 3)",0.001609,TRUE,1,"(1, 0)",YES,Analysis\Internal_Deduction\comparison_Map_49.png
50,7x7,0.021315,TRUE,1,"(0, 3)",0.002044,TRUE,1,"(1, 0)",YES,Analysis\Internal_Deduction\comparison_Map_50.png
51,7x7,0.011592,TRUE,1,"(0, 0)",0.001697,TRUE,1,"(0, 0)",YES,Analysis\Internal_Deduction\comparison_Map_51.png
52,7x7,0.012727,TRUE,1,"(0, 4)",0.00194,TRUE,1,"(1, 0)",YES,Analysis\Internal_Deduction\comparison_Map_52.png
53,7x7,0.015701,TRUE,1,"(0, 3)",0.001943,TRUE,1,"(1, 0)",YES,Analysis\Internal_Deduction\comparison_Map_53.png
54,7x7,0.018868,TRUE,1,"(0, 5)",0.002066,TRUE,1,"(1, 1)",YES,Analysis\Internal_Deduction\comparison_Map_54.png
55,7x7,0.015868,TRUE,1,"(0, 3)",0.003402,TRUE,1,"(0, 3)",YES,Analysis\Internal_Deduction\comparison_Map_55.png
56,7x7,0.013258,TRUE,1,"(0, 1)",0.002644,TRUE,1,"(0, 1)",YES,Analysis\Internal_Deduction\comparison_Map_56.png
57,7x7,0.012446,TRUE,1,"(0, 5)",0.001803,TRUE,1,"(3, 0)",YES,Analysis\Internal_Deduction\comparison_Map_57.png
58,7x7,0.017074,TRUE,1,"(0, 3)",0.001691,TRUE,1,"(1, 0)",YES,Analysis\Internal_Deduction\comparison_Map_58.png
59,7x7,0.017365,TRUE,1,"(0, 3)",0.001768,TRUE,1,"(2, 2)",YES,Analysis\Internal_Deduction\comparison_Map_59.png
60,9x9,0.046362,TRUE,1,"(0, 6)",0.008266,TRUE,1,"(4, 0)",YES,Analysis\Internal_Deduction\comparison_Map_60.png
61,9x9,0.0323,TRUE,1,"(0, 0)",0.006155,TRUE,1,"(0, 0)",YES,Analysis\Internal_Deduction\comparison_Map_61.png
62,9x9,0.384332,TRUE,1,"(0, 7)",0.186561,TRUE,1,"(7, 2)",YES,Analysis\Internal_Deduction\comparison_Map_62.png
63,9x9,0.025772,TRUE,1,"(0, 4)",0.006041,TRUE,1,"(0, 4)",YES,Analysis\Internal_Deduction\comparison_Map_63.png
64,9x9,0.316285,TRUE,2,"(0, 1)",0.136535,TRUE,1,"(5, 6)",YES,Analysis\Internal_Deduction\comparison_Map_64.png
65,9x9,0.03275,TRUE,1,"(0, 7)",0.006972,TRUE,1,"(0, 7)",YES,Analysis\Internal_Deduction\comparison_Map_65.png
66,9x9,0.586907,TRUE,1,"(0, 5)",0.57732,TRUE,1,"(0, 5)",YES,Analysis\Internal_Deduction\comparison_Map_66.png
67,9x9,0.048165,TRUE,1,"(0, 0)",0.005522,TRUE,1,"(3, 5)",YES,Analysis\Internal_Deduction\comparison_Map_67.png
68,9x9,0.038597,TRUE,1,"(0, 1)",0.005749,TRUE,1,"(3, 3)",YES,Analysis\Internal_Deduction\comparison_Map_68.png
69,9x9,0.031386,TRUE,1,"(0, 0)",0.004503,TRUE,1,"(1, 6)",YES,Analysis\Internal_Deduction\comparison_Map_69.png
70,9x9,0.047047,TRUE,1,"(0, 0)",0.006878,TRUE,1,"(2, 1)",YES,Analysis\Internal_Deduction\comparison_Map_70.png
