Map,Board Size,Internal Deduction -> Brute Force Optimal Seed Time (s),Internal Deduction -> Brute Force Optimal Seed Solved,Internal Deduction -> Brute Force Optimal Seed Seeds,Internal Deduction -> Brute Force Optimal Seed Chosen Seed,Internal + Row/Col Deduction Brute Force Optimal Seed Time (s),Internal + Row/Col Deduction Brute Force Optimal Seed Solved,Internal + Row/Col Deduction Brute Force Optimal Seed Seeds,Internal + Row/Col Deduction Brute Force Optimal Seed Chosen Seed,Boards Match,Image Path
1,5x5,0.004220,True,1,"(0, 0)",0.002327,True,1,"(0, 0)",YES,Analysis\Internal_and_rowcol_Deduction\comparison_Map_1.png
2,6x6,0.011306,True,1,"(1, 5)",0.005244,True,1,"(1, 5)",YES,Analysis\Internal_and_rowcol_Deduction\comparison_Map_2.png
3,8x8,0.054935,True,1,"(2, 6)",0.021779,True,1,"(4, 0)",YES,Analysis\Internal_and_rowcol_Deduction\comparison_Map_3.png
4,8x8,0.617838,True,2,"(2, 6)",0.021772,True,1,"(2, 6)",YES,Analysis\Internal_and_rowcol_Deduction\comparison_Map_4.png
5,8x8,0.010385,True,1,"(5, 1)",0.011680,True,1,"(5, 1)",YES,Analysis\Internal_and_rowcol_Deduction\comparison_Map_5.png
6,9x9,0.072209,True,1,"(3, 0)",0.002737,True,1,"(3, 0)",YES,Analysis\Internal_and_rowcol_Deduction\comparison_Map_6.png
7,8x8,0.100336,True,1,"(0, 3)",0.016423,True,1,"(0, 3)",YES,Analysis\Internal_and_rowcol_Deduction\comparison_Map_7.png
8,8x8,0.019320,True,1,"(2, 3)",0.010070,True,1,"(2, 3)",YES,Analysis\Internal_and_rowcol_Deduction\comparison_Map_8.png
9,8x8,0.049782,True,1,"(3, 2)",0.014904,True,1,"(3, 2)",YES,Analysis\Internal_and_rowcol_Deduction\comparison_Map_9.png
10,8x8,0.351015,True,1,"(1, 6)",0.240402,True,1,"(1, 6)",YES,Analysis\Internal_and_rowcol_Deduction\comparison_Map_10.png
11,8x8,0.076612,True,1,"(6, 3)",0.025792,True,1,"(2, 4)",NO,Analysis\Internal_and_rowcol_Deduction\comparison_Map_11.png
12,8x8,0.015066,True,1,"(3, 4)",0.009996,True,1,"(3, 4)",YES,Analysis\Internal_and_rowcol_Deduction\comparison_Map_12.png
13,8x8,0.021070,True,1,"(3, 5)",0.007175,True,1,"(3, 5)",YES,Analysis\Internal_and_rowcol_Deduction\comparison_Map_13.png
14,8x8,0.030282,True,1,"(0, 0)",0.019397,True,1,"(0, 0)",YES,Analysis\Internal_and_rowcol_Deduction\comparison_Map_14.png
15,8x8,0.194541,True,1,"(7, 4)",0.012238,True,1,"(7, 4)",YES,Analysis\Internal_and_rowcol_Deduction\comparison_Map_15.png
16,8x8,0.094878,True,1,"(5, 2)",0.081058,True,1,"(5, 2)",YES,Analysis\Internal_and_rowcol_Deduction\comparison_Map_16.png
17,9x9,0.038248,True,1,"(2, 6)",0.004513,True,1,"(2, 6)",YES,Analysis\Internal_and_rowcol_Deduction\comparison_Map_17.png
18,9x9,0.202428,True,1,"(3, 5)",0.020972,True,1,"(3, 5)",YES,Analysis\Internal_and_rowcol_Deduction\comparison_Map_18.png
19,9x9,0.033574,True,1,"(2, 7)",0.012926,True,1,"(3, 3)",YES,Analysis\Internal_and_rowcol_Deduction\comparison_Map_19.png
20,9x9,0.024207,True,1,"(3, 8)",0.010045,True,1,"(3, 8)",YES,Analysis\Internal_and_rowcol_Deduction\comparison_Map_20.png
21,9x9,0.042592,True,1,"(2, 2)",0.017085,True,1,"(2, 2)",YES,Analysis\Internal_and_rowcol_Deduction\comparison_Map_21.png
22,9x9,0.039849,True,1,"(2, 7)",0.007012,True,1,"(2, 7)",YES,Analysis\Internal_and_rowcol_Deduction\comparison_Map_22.png
23,9x9,0.035437,True,1,"(1, 7)",0.017877,True,1,"(1, 7)",YES,Analysis\Internal_and_rowcol_Deduction\comparison_Map_23.png
24,9x9,0.041697,True,1,"(1, 3)",0.005135,True,1,"(3, 0)",YES,Analysis\Internal_and_rowcol_Deduction\comparison_Map_24.png
25,9x9,0.033106,True,1,"(2, 6)",0.005634,True,1,"(2, 6)",YES,Analysis\Internal_and_rowcol_Deduction\comparison_Map_25.png
26,9x9,0.034294,True,1,"(1, 2)",0.003917,True,1,"(1, 2)",YES,Analysis\Internal_and_rowcol_Deduction\comparison_Map_26.png
27,8x8,0.020447,True,1,"(0, 6)",0.005033,True,1,"(0, 6)",YES,Analysis\Internal_and_rowcol_Deduction\comparison_Map_27.png
28,8x8,0.018497,True,1,"(1, 3)",0.002829,True,1,"(1, 3)",YES,Analysis\Internal_and_rowcol_Deduction\comparison_Map_28.png
29,8x8,0.020320,True,1,"(2, 0)",0.005598,True,1,"(2, 0)",YES,Analysis\Internal_and_rowcol_Deduction\comparison_Map_29.png
30,8x8,0.015886,True,1,"(1, 1)",0.004589,True,1,"(1, 1)",YES,Analysis\Internal_and_rowcol_Deduction\comparison_Map_30.png
31,8x8,0.017771,True,1,"(2, 4)",0.007118,True,1,"(4, 5)",YES,Analysis\Internal_and_rowcol_Deduction\comparison_Map_31.png
32,8x8,0.206652,True,1,"(0, 2)",0.014639,True,1,"(3, 4)",YES,Analysis\Internal_and_rowcol_Deduction\comparison_Map_32.png
33,7x7,0.013570,True,1,"(3, 1)",0.002058,True,1,"(3, 1)",YES,Analysis\Internal_and_rowcol_Deduction\comparison_Map_33.png
34,7x7,0.011740,True,1,"(2, 0)",0.002246,True,1,"(2, 0)",YES,Analysis\Internal_and_rowcol_Deduction\comparison_Map_34.png
35,7x7,0.009195,True,1,"(0, 2)",0.002443,True,1,"(0, 2)",YES,Analysis\Internal_and_rowcol_Deduction\comparison_Map_35.png
36,7x7,0.012661,True,1,"(2, 3)",0.001805,True,1,"(2, 3)",YES,Analysis\Internal_and_rowcol_Deduction\comparison_Map_36.png
37,7x7,0.017392,True,1,"(4, 3)",0.006364,True,1,"(4, 3)",YES,Analysis\Internal_and_rowcol_Deduction\comparison_Map_37.png
38,7x7,0.011513,True,1,"(0, 3)",0.007165,True,1,"(2, 2)",YES,Analysis\Internal_and_rowcol_Deduction\comparison_Map_38.png
