Map,Board Size,BF Time (s),BF Solved,BF Seeds,BF Chosen Seed,BFOS Time (s),BFOS Solved,BFOS Seeds,BFOS Chosen Seed,Boards Match,Image Path
1,5x5,0.001050,True,1,"(0, 0)",0.000543,True,1,"(0, 0)",YES,Analysis\diffs\comparison_Map_1.png
2,6x6,0.005936,True,1,"(0, 0)",0.005908,True,1,"(0, 0)",YES,Analysis\diffs\comparison_Map_2.png
3,8x8,0.171292,True,2,"(0, 1)",0.674874,True,2,"(1, 4)",YES,Analysis\diffs\comparison_Map_3.png
4,8x8,0.084742,True,1,"(0, 0)",0.655870,True,2,"(2, 6)",NO,Analysis\diffs\comparison_Map_4.png
5,8x8,0.005124,True,1,"(0, 0)",0.001697,True,1,"(5, 1)",YES,Analysis\diffs\comparison_Map_5.png
6,9x9,41.453897,True,8,"(0, 7)",24.814576,True,4,"(3, 0)",YES,Analysis\diffs\comparison_Map_6.png
7,8x8,2.008373,True,4,"(0, 3)",0.314438,True,1,"(0, 3)",YES,Analysis\diffs\comparison_Map_7.png
8,8x8,0.075377,True,1,"(0, 0)",0.001615,True,1,"(2, 3)",YES,Analysis\diffs\comparison_Map_8.png
9,8x8,0.216856,True,1,"(0, 0)",0.038627,True,1,"(3, 2)",YES,Analysis\diffs\comparison_Map_9.png
10,8x8,0.138714,True,1,"(0, 0)",0.375578,True,1,"(1, 6)",NO,Analysis\diffs\comparison_Map_10.png
11,8x8,0.615043,True,1,"(0, 0)",0.072114,True,1,"(6, 3)",YES,Analysis\diffs\comparison_Map_11.png
12,8x8,0.066089,True,1,"(0, 0)",0.004324,True,1,"(3, 4)",YES,Analysis\diffs\comparison_Map_12.png
13,8x8,0.551036,True,2,"(0, 1)",0.125892,True,1,"(3, 5)",YES,Analysis\diffs\comparison_Map_13.png
14,8x8,0.013139,True,1,"(0, 0)",0.013664,True,1,"(0, 0)",YES,Analysis\diffs\comparison_Map_14.png
15,8x8,1.327194,True,3,"(0, 2)",0.220201,True,1,"(7, 4)",YES,Analysis\diffs\comparison_Map_15.png
16,8x8,1.380836,True,5,"(0, 4)",0.337541,True,1,"(6, 5)",YES,Analysis\diffs\comparison_Map_16.png
17,9x9,1.692166,True,1,"(0, 0)",0.213038,True,1,"(7, 5)",YES,Analysis\diffs\comparison_Map_17.png
18,9x9,6.775219,True,3,"(0, 2)",0.966668,True,1,"(5, 5)",NO,Analysis\diffs\comparison_Map_18.png
19,9x9,22.588983,True,7,"(0, 6)",3.242283,True,1,"(2, 7)",YES,Analysis\diffs\comparison_Map_19.png
20,9x9,4.531951,True,2,"(0, 1)",0.747975,True,1,"(3, 8)",YES,Analysis\diffs\comparison_Map_20.png
21,9x9,8.076806,True,2,"(0, 1)",1.270366,True,1,"(0, 1)",YES,Analysis\diffs\comparison_Map_21.png
22,9x9,0.444994,True,1,"(0, 0)",4.888001,True,2,"(4, 8)",YES,Analysis\diffs\comparison_Map_22.png
23,9x9,2.255685,True,1,"(0, 0)",0.036392,True,1,"(1, 7)",YES,Analysis\diffs\comparison_Map_23.png
24,9x9,27.314010,True,9,"(0, 8)",0.676544,True,1,"(0, 8)",YES,Analysis\diffs\comparison_Map_24.png
25,9x9,0.032875,True,1,"(0, 0)",0.008342,True,1,"(8, 8)",YES,Analysis\diffs\comparison_Map_25.png
26,9x9,13.866849,True,8,"(0, 7)",7.115160,True,2,"(1, 2)",YES,Analysis\diffs\comparison_Map_26.png
27,8x8,3.517362,True,7,"(0, 6)",0.105273,True,1,"(0, 6)",YES,Analysis\diffs\comparison_Map_27.png
28,8x8,2.612040,True,8,"(0, 7)",0.194560,True,1,"(0, 7)",YES,Analysis\diffs\comparison_Map_28.png
29,8x8,1.712039,True,3,"(0, 2)",0.307732,True,1,"(4, 7)",YES,Analysis\diffs\comparison_Map_29.png
30,8x8,0.658061,True,5,"(0, 4)",0.060131,True,1,"(1, 1)",YES,Analysis\diffs\comparison_Map_30.png
31,8x8,1.396168,True,7,"(0, 6)",0.320570,True,1,"(2, 4)",YES,Analysis\diffs\comparison_Map_31.png
32,8x8,1.494466,True,3,"(0, 2)",0.272442,True,1,"(0, 2)",YES,Analysis\diffs\comparison_Map_32.png
33,7x7,0.323006,True,6,"(0, 5)",0.028460,True,1,"(0, 5)",YES,Analysis\diffs\comparison_Map_33.png
34,7x7,0.048718,True,2,"(0, 1)",0.010162,True,1,"(1, 4)",YES,Analysis\diffs\comparison_Map_34.png
35,7x7,0.053341,True,3,"(0, 2)",0.010817,True,1,"(2, 0)",YES,Analysis\diffs\comparison_Map_35.png
36,7x7,0.131300,True,3,"(0, 2)",0.057571,True,1,"(0, 2)",YES,Analysis\diffs\comparison_Map_36.png
37,7x7,0.301087,True,6,"(0, 5)",0.052137,True,1,"(4, 3)",YES,Analysis\diffs\comparison_Map_37.png
38,7x7,0.170213,True,4,"(0, 3)",0.057523,True,1,"(0, 3)",YES,Analysis\diffs\comparison_Map_38.png
39,8x8,1.661284,True,8,"(0, 7)",0.249203,True,1,"(2, 6)",YES,Analysis\diffs\comparison_Map_39.png
40,8x8,1.593259,True,4,"(0, 3)",0.251789,True,1,"(7, 5)",YES,Analysis\diffs\comparison_Map_40.png
41,7x7,0.574540,True,7,"(0, 6)",0.071167,True,1,"(0, 6)",YES,Analysis\diffs\comparison_Map_41.png
42,7x7,0.401331,True,4,"(0, 3)",0.061119,True,1,"(1, 6)",YES,Analysis\diffs\comparison_Map_42.png
43,7x7,0.729976,True,7,"(0, 6)",0.046112,True,1,"(0, 6)",YES,Analysis\diffs\comparison_Map_43.png
44,7x7,0.322994,True,5,"(0, 4)",0.050145,True,1,"(2, 5)",YES,Analysis\diffs\comparison_Map_44.png
45,7x7,0.050422,True,2,"(0, 1)",0.023352,True,1,"(0, 1)",YES,Analysis\diffs\comparison_Map_45.png
46,7x7,0.164085,True,2,"(0, 1)",0.021060,True,1,"(4, 2)",YES,Analysis\diffs\comparison_Map_46.png
47,7x7,0.168358,True,4,"(0, 3)",0.002964,True,1,"(0, 3)",YES,Analysis\diffs\comparison_Map_47.png
48,7x7,0.201944,True,3,"(0, 2)",0.031451,True,1,"(5, 1)",YES,Analysis\diffs\comparison_Map_48.png
49,7x7,0.256770,True,4,"(0, 3)",0.035764,True,1,"(6, 6)",YES,Analysis\diffs\comparison_Map_49.png
50,7x7,0.155660,True,4,"(0, 3)",0.027060,True,1,"(2, 4)",YES,Analysis\diffs\comparison_Map_50.png
51,7x7,0.007447,True,1,"(0, 0)",0.005580,True,1,"(1, 3)",YES,Analysis\diffs\comparison_Map_51.png
52,7x7,0.294113,True,5,"(0, 4)",0.183415,True,2,"(1, 0)",YES,Analysis\diffs\comparison_Map_52.png
53,7x7,0.296019,True,4,"(0, 3)",0.047476,True,1,"(2, 4)",YES,Analysis\diffs\comparison_Map_53.png
54,7x7,0.249052,True,6,"(0, 5)",0.050662,True,1,"(6, 2)",YES,Analysis\diffs\comparison_Map_54.png
55,7x7,0.125989,True,4,"(0, 3)",0.027775,True,1,"(2, 2)",YES,Analysis\diffs\comparison_Map_55.png
56,7x7,0.105638,True,2,"(0, 1)",0.003360,True,1,"(2, 0)",YES,Analysis\diffs\comparison_Map_56.png
57,7x7,0.326787,True,6,"(0, 5)",0.045005,True,1,"(2, 4)",YES,Analysis\diffs\comparison_Map_57.png
58,7x7,0.199025,True,4,"(0, 3)",0.040724,True,1,"(3, 1)",YES,Analysis\diffs\comparison_Map_58.png
59,7x7,0.364985,True,4,"(0, 3)",0.054265,True,1,"(3, 5)",YES,Analysis\diffs\comparison_Map_59.png
60,9x9,17.604486,True,7,"(0, 6)",2.188975,True,1,"(6, 2)",YES,Analysis\diffs\comparison_Map_60.png
61,9x9,0.991802,True,1,"(0, 0)",0.973608,True,1,"(0, 0)",YES,Analysis\diffs\comparison_Map_61.png
62,9x9,24.296340,True,8,"(0, 7)",1.382712,True,1,"(0, 7)",YES,Analysis\diffs\comparison_Map_62.png
63,9x9,5.868364,True,5,"(0, 4)",1.347201,True,1,"(0, 4)",YES,Analysis\diffs\comparison_Map_63.png
64,9x9,3.892884,True,2,"(0, 1)",0.530932,True,1,"(5, 6)",YES,Analysis\diffs\comparison_Map_64.png
65,9x9,13.872646,True,8,"(0, 7)",2.512761,True,1,"(2, 6)",YES,Analysis\diffs\comparison_Map_65.png
66,9x9,11.231983,True,6,"(0, 5)",0.998721,True,1,"(0, 5)",YES,Analysis\diffs\comparison_Map_66.png
67,9x9,0.138609,True,1,"(0, 0)",9.190793,True,2,"(7, 7)",YES,Analysis\diffs\comparison_Map_67.png
68,9x9,2.222971,True,2,"(0, 1)",0.618218,True,1,"(3, 3)",YES,Analysis\diffs\comparison_Map_68.png
69,9x9,3.010468,True,1,"(0, 0)",0.054474,True,1,"(1, 6)",YES,Analysis\diffs\comparison_Map_69.png
70,9x9,0.084823,True,1,"(0, 0)",0.077492,True,1,"(2, 1)",YES,Analysis\diffs\comparison_Map_70.png
71,9x9,16.039206,True,6,"(0, 5)",1.553310,True,1,"(2, 4)",YES,Analysis\diffs\comparison_Map_71.png
72,9x9,18.568858,True,6,"(0, 5)",0.030164,True,1,"(0, 5)",YES,Analysis\diffs\comparison_Map_72.png
73,9x9,2.674497,True,1,"(0, 0)",0.382230,True,1,"(4, 1)",YES,Analysis\diffs\comparison_Map_73.png
74,9x9,2.119155,True,2,"(0, 1)",0.450483,True,1,"(5, 8)",YES,Analysis\diffs\comparison_Map_74.png
75,9x9,9.699767,True,7,"(0, 6)",2.005611,True,1,"(3, 8)",YES,Analysis\diffs\comparison_Map_75.png
76,9x9,4.139503,True,2,"(0, 1)",2.814384,True,1,"(0, 1)",YES,Analysis\diffs\comparison_Map_76.png
77,9x9,18.402077,True,4,"(0, 3)",2.735244,True,1,"(1, 8)",YES,Analysis\diffs\comparison_Map_77.png
78,9x9,0.003406,True,1,"(0, 0)",0.004186,True,1,"(3, 8)",YES,Analysis\diffs\comparison_Map_78.png
79,9x9,1.688522,True,1,"(0, 0)",0.435205,True,1,"(3, 1)",YES,Analysis\diffs\comparison_Map_79.png
80,9x9,1.194408,True,1,"(0, 0)",0.175536,True,1,"(6, 6)",YES,Analysis\diffs\comparison_Map_80.png
81,9x9,2.406652,True,4,"(0, 3)",0.206686,True,1,"(1, 1)",YES,Analysis\diffs\comparison_Map_81.png
82,9x9,2.672960,True,2,"(0, 1)",0.550676,True,1,"(6, 3)",YES,Analysis\diffs\comparison_Map_82.png
83,9x9,0.269720,True,1,"(0, 0)",0.082121,True,1,"(3, 4)",YES,Analysis\diffs\comparison_Map_83.png
84,9x9,10.202297,True,5,"(0, 4)",0.896399,True,1,"(0, 4)",YES,Analysis\diffs\comparison_Map_84.png
85,9x9,7.540210,True,3,"(0, 2)",1.306750,True,1,"(7, 4)",YES,Analysis\diffs\comparison_Map_85.png
86,9x9,0.480671,True,1,"(0, 0)",0.037275,True,1,"(2, 2)",YES,Analysis\diffs\comparison_Map_86.png
87,9x9,17.153009,True,4,"(0, 3)",1.929023,True,1,"(2, 7)",YES,Analysis\diffs\comparison_Map_87.png
88,9x9,0.297822,True,1,"(0, 0)",0.036341,True,1,"(8, 7)",NO,Analysis\diffs\comparison_Map_88.png
89,9x9,5.618818,True,4,"(0, 3)",2.495628,True,1,"(0, 3)",YES,Analysis\diffs\comparison_Map_89.png
