Map,Board Size,BF Time (s),BF Solved,BF Seeds,BF Chosen Seed,BFOS Time (s),BFOS Solved,BFOS Seeds,BFOS Chosen Seed,Image Path
1,5x5,0.001140,True,1,"(0, 0)",0.000670,True,1,"(0, 0)",Analysis\full_list_2\comparison_Map_1.png
2,6x6,0.006039,True,1,"(0, 0)",0.006156,True,1,"(0, 0)",Analysis\full_list_2\comparison_Map_2.png
3,8x8,0.162446,True,2,"(0, 1)",0.637493,True,2,"(1, 4)",Analysis\full_list_2\comparison_Map_3.png
4,8x8,0.089054,True,1,"(0, 0)",0.668978,True,2,"(2, 6)",Analysis\full_list_2\comparison_Map_4.png
5,8x8,0.002632,True,1,"(0, 0)",0.002085,True,1,"(5, 1)",Analysis\full_list_2\comparison_Map_5.png
6,9x9,38.870335,True,8,"(0, 7)",22.636414,True,4,"(3, 0)",Analysis\full_list_2\comparison_Map_6.png
7,8x8,1.852467,True,4,"(0, 3)",0.286427,True,1,"(0, 3)",Analysis\full_list_2\comparison_Map_7.png
8,8x8,0.069619,True,1,"(0, 0)",0.002185,True,1,"(2, 3)",Analysis\full_list_2\comparison_Map_8.png
9,8x8,0.197316,True,1,"(0, 0)",0.036488,True,1,"(3, 2)",Analysis\full_list_2\comparison_Map_9.png
10,8x8,0.123473,True,1,"(0, 0)",0.330439,True,1,"(1, 6)",Analysis\full_list_2\comparison_Map_10.png
11,8x8,0.575889,True,1,"(0, 0)",0.064818,True,1,"(6, 3)",Analysis\full_list_2\comparison_Map_11.png
12,8x8,0.057323,True,1,"(0, 0)",0.002609,True,1,"(3, 4)",Analysis\full_list_2\comparison_Map_12.png
13,8x8,0.510152,True,2,"(0, 1)",0.114821,True,1,"(3, 5)",Analysis\full_list_2\comparison_Map_13.png
14,8x8,0.013592,True,1,"(0, 0)",0.013009,True,1,"(0, 0)",Analysis\full_list_2\comparison_Map_14.png
15,8x8,1.294475,True,3,"(0, 2)",0.203660,True,1,"(7, 4)",Analysis\full_list_2\comparison_Map_15.png
16,8x8,1.397824,True,5,"(0, 4)",0.331208,True,1,"(6, 5)",Analysis\full_list_2\comparison_Map_16.png
17,9x9,1.648753,True,1,"(0, 0)",0.206449,True,1,"(7, 5)",Analysis\full_list_2\comparison_Map_17.png
18,9x9,6.656343,True,3,"(0, 2)",0.950407,True,1,"(5, 5)",Analysis\full_list_2\comparison_Map_18.png
19,9x9,22.023197,True,7,"(0, 6)",3.152786,True,1,"(2, 7)",Analysis\full_list_2\comparison_Map_19.png
20,9x9,4.416867,True,2,"(0, 1)",0.737759,True,1,"(3, 8)",Analysis\full_list_2\comparison_Map_20.png
21,9x9,8.008937,True,2,"(0, 1)",1.278125,True,1,"(0, 1)",Analysis\full_list_2\comparison_Map_21.png
22,9x9,0.415508,True,1,"(0, 0)",4.762965,True,2,"(4, 8)",Analysis\full_list_2\comparison_Map_22.png
23,9x9,2.192900,True,1,"(0, 0)",0.035242,True,1,"(1, 7)",Analysis\full_list_2\comparison_Map_23.png
24,9x9,26.968225,True,9,"(0, 8)",0.671808,True,1,"(0, 8)",Analysis\full_list_2\comparison_Map_24.png
25,9x9,0.027703,True,1,"(0, 0)",0.007699,True,1,"(8, 8)",Analysis\full_list_2\comparison_Map_25.png
26,9x9,13.004750,True,8,"(0, 7)",6.580549,True,2,"(1, 2)",Analysis\full_list_2\comparison_Map_26.png
27,8x8,3.380411,True,7,"(0, 6)",0.095674,True,1,"(0, 6)",Analysis\full_list_2\comparison_Map_27.png
28,8x8,2.441387,True,8,"(0, 7)",0.189314,True,1,"(0, 7)",Analysis\full_list_2\comparison_Map_28.png
29,8x8,1.588784,True,3,"(0, 2)",0.276802,True,1,"(4, 7)",Analysis\full_list_2\comparison_Map_29.png
30,8x8,0.602300,True,5,"(0, 4)",0.056162,True,1,"(1, 1)",Analysis\full_list_2\comparison_Map_30.png
31,8x8,1.336014,True,7,"(0, 6)",0.302072,True,1,"(2, 4)",Analysis\full_list_2\comparison_Map_31.png
32,8x8,1.420828,True,3,"(0, 2)",0.265644,True,1,"(0, 2)",Analysis\full_list_2\comparison_Map_32.png
