Map,Board Size,BF Time (s),BF Solved,BF Seeds,BF Chosen Seed,BFOS Time (s),BFOS Solved,BFOS Seeds,BFOS Chosen Seed,Boards Match,Image Path
1,5x5,0.000555,True,1,"(0, 0)",0.000604,True,1,"(0, 0)",YES,Analysis\placement_change\comparison_Map_1.png
2,6x6,0.005649,True,1,"(0, 0)",0.008042,True,1,"(0, 0)",YES,Analysis\placement_change\comparison_Map_2.png
3,8x8,0.194229,True,2,"(0, 1)",0.666076,True,2,"(1, 4)",YES,Analysis\placement_change\comparison_Map_3.png
4,8x8,0.104312,True,1,"(0, 0)",0.673748,True,2,"(2, 6)",NO,Analysis\placement_change\comparison_Map_4.png
5,8x8,0.003023,True,1,"(0, 0)",0.002193,True,1,"(5, 1)",YES,Analysis\placement_change\comparison_Map_5.png
6,9x9,40.351202,True,8,"(0, 7)",23.571390,True,4,"(3, 0)",YES,Analysis\placement_change\comparison_Map_6.png
7,8x8,1.947071,True,4,"(0, 3)",0.307166,True,1,"(0, 3)",YES,Analysis\placement_change\comparison_Map_7.png
8,8x8,0.098295,True,1,"(0, 0)",0.001853,True,1,"(2, 3)",YES,Analysis\placement_change\comparison_Map_8.png
9,8x8,0.284896,True,1,"(0, 0)",0.037242,True,1,"(3, 2)",YES,Analysis\placement_change\comparison_Map_9.png
10,8x8,0.152054,True,1,"(0, 0)",0.347886,True,1,"(1, 6)",NO,Analysis\placement_change\comparison_Map_10.png
11,8x8,0.621841,True,1,"(0, 0)",0.069026,True,1,"(6, 3)",YES,Analysis\placement_change\comparison_Map_11.png
12,8x8,0.079933,True,1,"(0, 0)",0.003476,True,1,"(3, 4)",YES,Analysis\placement_change\comparison_Map_12.png
13,8x8,0.567328,True,2,"(0, 1)",0.123710,True,1,"(3, 5)",YES,Analysis\placement_change\comparison_Map_13.png
14,8x8,0.019670,True,1,"(0, 0)",0.032691,True,1,"(0, 0)",YES,Analysis\placement_change\comparison_Map_14.png
15,8x8,1.403200,True,3,"(0, 2)",0.224051,True,1,"(7, 4)",YES,Analysis\placement_change\comparison_Map_15.png
16,8x8,1.440583,True,5,"(0, 4)",0.349814,True,1,"(6, 5)",YES,Analysis\placement_change\comparison_Map_16.png
17,9x9,1.744853,True,1,"(0, 0)",0.215911,True,1,"(7, 5)",YES,Analysis\placement_change\comparison_Map_17.png
18,9x9,7.071374,True,3,"(0, 2)",0.985451,True,1,"(5, 5)",NO,Analysis\placement_change\comparison_Map_18.png
19,9x9,22.944799,True,7,"(0, 6)",3.287214,True,1,"(2, 7)",YES,Analysis\placement_change\comparison_Map_19.png
20,9x9,4.638942,True,2,"(0, 1)",0.758915,True,1,"(3, 8)",YES,Analysis\placement_change\comparison_Map_20.png
21,9x9,8.306107,True,2,"(0, 1)",1.310959,True,1,"(0, 1)",YES,Analysis\placement_change\comparison_Map_21.png
22,9x9,0.456113,True,1,"(0, 0)",4.984556,True,2,"(4, 8)",YES,Analysis\placement_change\comparison_Map_22.png
23,9x9,2.343555,True,1,"(0, 0)",0.036367,True,1,"(1, 7)",YES,Analysis\placement_change\comparison_Map_23.png
24,9x9,28.098096,True,9,"(0, 8)",0.693863,True,1,"(0, 8)",YES,Analysis\placement_change\comparison_Map_24.png
25,9x9,0.040701,True,1,"(0, 0)",0.018488,True,1,"(8, 8)",YES,Analysis\placement_change\comparison_Map_25.png
26,9x9,13.652269,True,8,"(0, 7)",6.865175,True,2,"(1, 2)",YES,Analysis\placement_change\comparison_Map_26.png
27,8x8,3.632061,True,7,"(0, 6)",0.100843,True,1,"(0, 6)",YES,Analysis\placement_change\comparison_Map_27.png
28,8x8,2.622468,True,8,"(0, 7)",0.197453,True,1,"(0, 7)",YES,Analysis\placement_change\comparison_Map_28.png
29,8x8,1.700263,True,3,"(0, 2)",0.290508,True,1,"(4, 7)",YES,Analysis\placement_change\comparison_Map_29.png
30,8x8,0.657847,True,5,"(0, 4)",0.059816,True,1,"(1, 1)",YES,Analysis\placement_change\comparison_Map_30.png
31,8x8,1.439239,True,7,"(0, 6)",0.321475,True,1,"(2, 4)",YES,Analysis\placement_change\comparison_Map_31.png
32,8x8,1.533405,True,3,"(0, 2)",0.285853,True,1,"(0, 2)",YES,Analysis\placement_change\comparison_Map_32.png
33,7x7,0.343395,True,6,"(0, 5)",0.026726,True,1,"(0, 5)",YES,Analysis\placement_change\comparison_Map_33.png
34,7x7,0.062938,True,2,"(0, 1)",0.013459,True,1,"(1, 4)",YES,Analysis\placement_change\comparison_Map_34.png
35,7x7,0.083271,True,3,"(0, 2)",0.010742,True,1,"(2, 0)",YES,Analysis\placement_change\comparison_Map_35.png
36,7x7,0.152278,True,3,"(0, 2)",0.053917,True,1,"(0, 2)",YES,Analysis\placement_change\comparison_Map_36.png
37,7x7,0.317462,True,6,"(0, 5)",0.050111,True,1,"(4, 3)",YES,Analysis\placement_change\comparison_Map_37.png
38,7x7,0.195321,True,4,"(0, 3)",0.060005,True,1,"(0, 3)",YES,Analysis\placement_change\comparison_Map_38.png
39,8x8,1.869419,True,8,"(0, 7)",0.253189,True,1,"(2, 6)",YES,Analysis\placement_change\comparison_Map_39.png
40,8x8,1.619259,True,4,"(0, 3)",0.258413,True,1,"(7, 5)",YES,Analysis\placement_change\comparison_Map_40.png
41,7x7,0.608872,True,7,"(0, 6)",0.068299,True,1,"(0, 6)",YES,Analysis\placement_change\comparison_Map_41.png
42,7x7,0.422555,True,4,"(0, 3)",0.061637,True,1,"(1, 6)",YES,Analysis\placement_change\comparison_Map_42.png
43,7x7,0.757397,True,7,"(0, 6)",0.046398,True,1,"(0, 6)",YES,Analysis\placement_change\comparison_Map_43.png
44,7x7,0.329757,True,5,"(0, 4)",0.049446,True,1,"(2, 5)",YES,Analysis\placement_change\comparison_Map_44.png
45,7x7,0.074026,True,2,"(0, 1)",0.024660,True,1,"(0, 1)",YES,Analysis\placement_change\comparison_Map_45.png
46,7x7,0.192930,True,2,"(0, 1)",0.020936,True,1,"(4, 2)",YES,Analysis\placement_change\comparison_Map_46.png
47,7x7,0.230726,True,4,"(0, 3)",0.004019,True,1,"(0, 3)",YES,Analysis\placement_change\comparison_Map_47.png
48,7x7,0.220442,True,3,"(0, 2)",0.030877,True,1,"(5, 1)",YES,Analysis\placement_change\comparison_Map_48.png
49,7x7,0.270402,True,4,"(0, 3)",0.035536,True,1,"(6, 6)",YES,Analysis\placement_change\comparison_Map_49.png
50,7x7,0.174564,True,4,"(0, 3)",0.028662,True,1,"(2, 4)",YES,Analysis\placement_change\comparison_Map_50.png
51,7x7,0.013224,True,1,"(0, 0)",0.008978,True,1,"(1, 3)",YES,Analysis\placement_change\comparison_Map_51.png
52,7x7,0.311902,True,5,"(0, 4)",0.178955,True,2,"(1, 0)",YES,Analysis\placement_change\comparison_Map_52.png
53,7x7,0.297204,True,4,"(0, 3)",0.045418,True,1,"(2, 4)",YES,Analysis\placement_change\comparison_Map_53.png
54,7x7,0.265518,True,6,"(0, 5)",0.050656,True,1,"(6, 2)",YES,Analysis\placement_change\comparison_Map_54.png
55,7x7,0.143411,True,4,"(0, 3)",0.028907,True,1,"(2, 2)",YES,Analysis\placement_change\comparison_Map_55.png
56,7x7,0.125164,True,2,"(0, 1)",0.003079,True,1,"(2, 0)",YES,Analysis\placement_change\comparison_Map_56.png
57,7x7,0.358098,True,6,"(0, 5)",0.043619,True,1,"(2, 4)",YES,Analysis\placement_change\comparison_Map_57.png
58,7x7,0.227241,True,4,"(0, 3)",0.038186,True,1,"(3, 1)",YES,Analysis\placement_change\comparison_Map_58.png
59,7x7,0.344640,True,4,"(0, 3)",0.050474,True,1,"(3, 5)",YES,Analysis\placement_change\comparison_Map_59.png
60,9x9,17.069780,True,7,"(0, 6)",2.173868,True,1,"(6, 2)",YES,Analysis\placement_change\comparison_Map_60.png
61,9x9,0.961403,True,1,"(0, 0)",0.946264,True,1,"(0, 0)",YES,Analysis\placement_change\comparison_Map_61.png
62,9x9,25.101684,True,8,"(0, 7)",1.869777,True,1,"(0, 7)",YES,Analysis\placement_change\comparison_Map_62.png
63,9x9,5.722934,True,5,"(0, 4)",1.370704,True,1,"(0, 4)",YES,Analysis\placement_change\comparison_Map_63.png
64,9x9,3.827830,True,2,"(0, 1)",0.494115,True,1,"(5, 6)",YES,Analysis\placement_change\comparison_Map_64.png
65,9x9,13.559600,True,8,"(0, 7)",2.459316,True,1,"(2, 6)",YES,Analysis\placement_change\comparison_Map_65.png
66,9x9,10.759646,True,6,"(0, 5)",0.975041,True,1,"(0, 5)",YES,Analysis\placement_change\comparison_Map_66.png
67,9x9,0.134701,True,1,"(0, 0)",8.941487,True,2,"(7, 7)",YES,Analysis\placement_change\comparison_Map_67.png
68,9x9,2.106079,True,2,"(0, 1)",0.600741,True,1,"(3, 3)",YES,Analysis\placement_change\comparison_Map_68.png
